Nom,Grup parlamentari,Circumscripció,"Legislatures anteriors",Inici mandat,Fi mandat,Càrrec
Núria de Gispert i Català,CiU (UDC),Barcelona,"VII, VIII, IX",17 de desembre de 2012,,Presidenta del Parlament
Anna Simó i Castelló,ERC,Barcelona,"VIII, IX",17 de desembre de 2012,,Vicepresidenta primera
Lluís Maria Corominas i Díaz,CIU (CDC),Barcelona,"VII, VIII, IX",17 de desembre de 2012,,Vicepresident segon
Pere Navarro i Morera,Socialista (PSC),Barcelona,,17 de desembre de 2012,,Secretari primer [5]
Pere Calbó i Roca,PPC,Barcelona,"VIII, IX",17 de desembre de 2012,,Secretari segon
Josep Rull i Andreu,CIU (CDC),Barcelona,"V, VI, VII, VIII, IX",17 de desembre de 2012,,Secretari tercer
David Compañon Costa,ICV-EUiA (EUiA),Barcelona,,17 de desembre de 2012,,Secretari quart
Alícia Alegret Martí,PPC,Tarragona,IX,17 de desembre de 2012,,
Matías Alonso Ruiz,C's,Tarragona,,17 de desembre de 2012,,
Rosa Amorós i Capdevila,ERC,Lleida,,17 de desembre de 2012,,
Oriol Amorós i March,ERC,Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Josep Andreu i Domingo,ERC,Tarragona,,17 de desembre de 2012,,
Pere Aragonès i Garcia,ERC,Barcelona,"VIII, IX",17 de desembre de 2012,,
Inés Arrimadas García,C's,Barcelona,,17 de desembre de 2012,,
Joaquim Arrufat i Ibáñez,Mixt (CUP),Barcelona,,17 de desembre de 2012,,
Antoni Balasch i Parisi,CIU (CDC),Lleida,IX,17 de desembre de 2012,,
Ramona Barrufet i Santacana,CIU (CDC),Lleida,IX,17 de desembre de 2012,,
Albert Batalla i Siscart,CIU (CDC),Lleida,"VII, VIII, IX",17 de desembre de 2012,,
Albert Batet i Canadell,CIU (CDC),Tarragona,,17 de desembre de 2012,,
David Bonvehí i Torras,CIU (CDC),Barcelona,IX,17 de desembre de 2012,,
Meritxell Borràs i Solé,CIU (CDC),Barcelona,"V, VI, VII, VIII, IX",17 de desembre de 2012,,
Cristina Bosch i Arcau,CIU (UDC),Lleida,,17 de desembre de 2012,,
Pere Bosch i Cuenca,ERC,Girona,"VIII, IX",17 de desembre de 2012,,
Jaume Bosch i Mestres,ICV-EUiA (ICV),Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Gemma Calvet i Barot,ERC (CAT-SÍ),Barcelona,,17 de desembre de 2012,,
Maria Dolors Camats i Luis,ICV-EUiA (ICV),Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Mireia Canals i Botines,CIU (CDC),Lleida,IX,17 de desembre de 2012,18 de novembre de 2014,
Jordi Cañas Pérez,C's,Barcelona,IX,17 de desembre de 2012,29 d'abril de 2014,
Montserrat Capdevila i Tatché,Socialista (PSC),Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Carlos Carrizosa Torres,C's,Barcelona,,17 de desembre de 2012,,
Antoni Castellà i Clavé,CIU (UDC),Barcelona,"VI, VII, VIII, IX",17 de desembre de 2012,15 de gener de 2013,
Violant Cervera i Gòdia,CIU (CDC),Lleida,,17 de desembre de 2012,,
Pedro Chumillas Zurilla,PPC,Barcelona,IX,17 de desembre de 2012,13 de juny de 2013,
Xavier Cima i Ruiz,CIU (CDC),Girona,,2 d'abril de 2013,,
Jordi Ciuraneta Riu,CIU (CDC),Lleida,,16 de desembre de 2014,,
Josep Lluís Cleries i Gonzàlez,CIU (CDC),Barcelona,"VII, VIII, IX",17 de desembre de 2012,30 d'abril de 2013,Senador autonòmic
Jaume Collboni i Cuadrado,Socialista (PSC),Barcelona,IX,17 de desembre de 2012,18 de març de 2014,
Celestino Corbacho Chaves,Socialista (PSC),Barcelona,"IV, V, IX",17 de desembre de 2012,,
Josep Cosconera i Carabassa,ERC,Lleida,,17 de desembre de 2012,,
José Antonio Coto Roquet,PPC,Barcelona,IX,17 de desembre de 2012,,
Xavier Crespo i Llobet,CIU (CDC),Girona,"VIII, IX",17 de desembre de 2012,,
Carmen de Rivera i Pla,C's,Barcelona,"VIII, IX",17 de desembre de 2012,,
Xavier Dilmé i Vert,CIU (UDC),Girona,"VIII, IX",17 de desembre de 2012,,
Albert Donés i Antequera,ERC,Lleida,,17 de desembre de 2012,,
Joan Ignasi Elena i Garcia,No adscrit[6] (PSC),Barcelona,IV,17 de desembre de 2012,1 d'octubre de 2014,
Ramon Espadaler i Parcerisas,CIU (UDC),Barcelona,"IV, V, VI, VII, VIII, IX",17 de desembre de 2012,16 d'abril de 2013,Conseller d'Interior
José María Espejo-Saavedra Conesa,C's,Barcelona,,17 de desembre de 2012,,
Ferran Falcó i Isern,CIU (CDC),Barcelona,IX,17 de desembre de 2012,,
Daniel Fernández González,Socialista (PSC),Barcelona,,17 de desembre de 2012,27 de gener de 2015,
Juli Fernández i Iruela,Socialista (PSC),Girona,,17 de desembre de 2012,,
David Fernàndez i Ramos,Mixt (CUP),Barcelona,,17 de desembre de 2012,,
Antoni Fernández i Teixidó,CIU (CDC),Barcelona,"III, VI, VII, VIII, IX",17 de desembre de 2012,,
Anna Figueras i Ibañez,CIU (CDC),Barcelona,"VIII, IX",17 de desembre de 2012,,
Antoni Font i Renom,CIU (UDC),Barcelona,,17 de desembre de 2012,,
Maria Victòria Forns i Fernández,CIU (CDC),Tarragona,IX,17 de desembre de 2012,,
María José García Cuevas,PPC,Barcelona,IX,17 de desembre de 2012,,
Sergio García Pérez,PPC,Barcelona,,18 de juny de 2013,,
Eva García Rodríguez,PPC,Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Marina Geli i Fàbrega,No adscrit[7] (PSC),Girona,"V, VI, VII, VIII, IX",17 de desembre de 2012,,
Cristòfol Gimeno Iglesias,Socialista (PSC),Barcelona,,25 de març de 2014,,
Germà Gordó i Aubarell,CIU (CDC),Barcelona,,17 de desembre de 2012,16 d'abril de 2013,Conseller de Justícia
Eva Maria Granados Galiano,Socialista (PSC),Barcelona,IX,17 de desembre de 2012,,
Hortènsia Grau i Juan,ICV-EUiA (ICV),Tarragona,IX,17 de desembre de 2012,,
Lluís Guinó i Subirós,CIU (CDC),Girona,IX,17 de desembre de 2012,,
Dionís Guiteras i Rubio,ERC,Barcelona,,17 de desembre de 2012,,
Joan Herrera i Torres,ICV-EUiA (ICV),Barcelona,IX,17 de desembre de 2012,,
Miquel Iceta i Llorens,Socialista (PSC),Barcelona,"VI, VII, VIII, IX",17 de desembre de 2012,,Secretari primer [8]
Maria Mercè Jou i Torras,CIU (UDC),Barcelona,IX,17 de desembre de 2012,,
Oriol Junqueras i Vies,ERC,Barcelona,,17 de desembre de 2012,,Cap de l'oposició
Assumpció Laïlla i Jou,CIU (UDC),Barcelona,"VIII, IX",22 de juliol de 2014,,
Marta Llorens i Garcia,CIU (UDC),Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Dolors López Aguilar,PPC,Lleida,IX,17 de desembre de 2012,,
Rafael López Rueda,PPC,Barcelona,"VII, VIII, IX",17 de desembre de 2012,,
Maurici Lucena Betriu,Socialista (PSC),Barcelona,,17 de desembre de 2012,,
Rafael Luna i Vivas,PPC,Tarragona,"V, VI, VII, VIII, IX",17 de desembre de 2012,,
Benet Maimí i Pou,CIU (UDC),Barcelona,"VIII, IX",24 d'abril de 2013,,
Annabel Marcos i Vilar,CIU (CDC),Tarragona,IX,17 de desembre de 2012,,
Rocío Martínez-Sampere i Rodrigo,Socialista (PSC),Barcelona,"VIII, IX",17 de desembre de 2012,,
